CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
53001950100,Washington,Adams County,0,2447,1041,0,59,2.41,0,0,0,0,0,0,11,67703,0,0,0,0,0,0,0,0,228,228,0,58,58,0,1387,56.69,446,18.24,297,12.15,299,12.21,1333,54.46,0,0,6,0.26,0,0,13,0.52,36,1.45,42,1.72,35,3.38,90,8.64,745,30.46,192,7.83,185,7.58,114,4.68,719,29.4,0,0,2,0.08,0,0,10,0.41,14,0.57,17,0.69,1,0.08,42,4.05,228,9.3,58,2.35,70,2.88,28,1.13,217,8.86,0,0,1,0.04,0,0,4,0.15,6,0.24,5,0.2,0,0,11,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,534,516,2326,2,11,0,24,84,112,87,162
53001950200,Washington,Adams County,0,1738,699,0,0,0,1,1,0,0,0,1,18.2,62500,1,1,0,0,0,1,0,0,1427,1427,315,696,696,129,1738,100,841,48.4,435,25.03,305,17.55,1524,87.69,24,1.38,12,0.69,2,0.12,10,0.58,166,9.55,202,11.62,16,2.26,136,19.41,1738,100,841,48.4,435,25.03,305,17.55,1524,87.69,24,1.38,12,0.69,2,0.12,10,0.58,166,9.55,202,11.62,16,2.26,136,19.41,1427,82.11,696,40.03,345,19.86,272,15.65,1276,73.43,23,1.35,11,0.63,1,0.06,5,0.27,111,6.36,140,8.07,15,2.22,115,16.46,315,18.11,129,7.4,57,3.3,79,4.52,299,17.18,2,0.12,0,0,0,0,3,0.17,11,0.64,13,0.73,6,1,29,4.17,824,435,305,1524,24,12,2,10,166,202,15,126
53001950300,Washington,Adams County,1,6934,1801,0,29,0.42,1,1,1,1,1,1,29,42900,1,1,1,1,1,0,0,1,5901,6807,5901,3463,4000,3463,6807,98.18,4000,57.68,2611,37.66,471,6.79,3694,53.27,48,0.69,15,0.22,2,0.03,159,2.29,2890,41.68,4955,71.46,126,6.98,388,21.56,5901,85.1,3463,49.94,2272,32.77,410,5.92,3360,48.46,43,0.62,11,0.16,1,0.01,129,1.87,2356,33.98,4110,59.28,119,6.6,342,19,18,0.25,9,0.13,6,0.08,1,0.01,14,0.19,0,0,0,0,0,0,0,0,4,0.06,12,0.17,0,0.03,1,0.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3965,2656,477,3747,48,15,2,164,2958,5063,124,388
53001950400,Washington,Adams County,1,2856,882,0,74,2.59,0,1,0,0,0,1,27,55521,0,1,0,1,0,0,0,0,22,729,22,11,382,11,729,25.53,382,13.38,243,8.51,113,3.96,535,18.74,5,0.18,7,0.23,0,0,2,0.07,180,6.31,426,14.91,35,3.96,45,5.16,22,0.78,11,0.39,10,0.37,2,0.06,16,0.57,0,0,0,0.01,0,0,0,0,6,0.2,12,0.43,1,0.12,1,0.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1854,1018,330,1764,13,29,0,50,1000,1973,114,183
53001950500,Washington,Adams County,1,4753,1297,0,0,0,0,1,0,0,0,1,28,57831,0,1,0,1,0,0,0,0,234,1721,234,123,813,123,1721,36.21,813,17.11,778,16.37,66,1.39,743,15.63,8,0.16,23,0.49,0,0,30,0.64,917,19.29,1517,31.93,3,0.26,87,6.73,234,4.93,123,2.59,93,1.96,18,0.38,166,3.48,1,0.02,1,0.02,0,0,1,0.02,65,1.38,199,4.18,1,0.05,13,1.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2267,1869,287,2342,22,58,0,108,2223,3749,10,294
53003960100,Washington,Asotin County,0,4304,1713,0,0,0,0,0,0,0,0,0,10.2,81118,1,1,0,0,0,1,0,0,557,557,174,149,149,47,4133,96.04,891,20.71,941,21.86,772,17.93,3960,92.01,12,0.28,18,0.42,13,0.3,42,0.99,88,2.04,93,2.17,26,1.49,137,8,3277,76.14,729,16.94,733,17.03,636,14.79,3147,73.12,12,0.28,15,0.34,12,0.28,32,0.75,59,1.37,66,1.53,26,1.49,111,6.46,557,12.94,149,3.46,81,1.87,108,2.5,540,12.56,0,0,0,0,0,0,5,0.11,12,0.27,17,0.39,11,0.66,21,1.23,174,4.05,47,1.1,16,0.38,42,0.98,173,4.02,0,0,0,0,0,0,0,0.01,1,0.03,2,0.05,4,0,7,0.43,866,985,797,4117,12,18,13,44,100,101,20,141
53003960200,Washington,Asotin County,1,4542,1978,0,5,0.11,0,0,0,0,0,0,6.9,68558,1,1,1,1,1,0,0,0,1666,3282,1666,462,838,462,3282,72.26,838,18.45,644,14.18,739,16.27,3154,69.44,11,0.24,13,0.28,7,0.15,32,0.71,66,1.45,78,1.71,11,0.55,79,4,1666,36.67,462,10.17,311,6.84,376,8.28,1607,35.38,5,0.12,7,0.16,5,0.12,17,0.38,24,0.52,31,0.69,0,0.02,40,2.03,15,0.33,5,0.11,3,0.06,5,0.1,15,0.32,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1175,869,1092,4365,20,24,7,40,86,97,17,115
53003960300,Washington,Asotin County,1,3775,1720,0,47,1.25,0,1,0,0,0,1,20.4,42188,0,1,0,1,0,0,0,0,89,2227,89,67,1374,67,2227,58.99,1374,36.4,502,13.29,344,9.12,2038,53.98,23,0.62,12,0.33,2,0.05,66,1.75,85,2.26,84,2.24,93,5.43,358,20.83,89,2.35,67,1.78,44,1.16,1,0.02,67,1.77,1,0.03,3,0.08,0,0,6,0.16,12,0.31,3,0.09,3,0.17,11,0.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2044,855,553,3470,35,27,2,101,140,143,115,530
53003960400,Washington,Asotin County,1,2165,917,0,20,0.92,0,1,0,0,0,1,20.9,53125,0,1,0,1,0,0,0,0,292,1663,292,125,725,125,1663,76.83,725,33.46,372,17.17,307,14.16,1537,71,7,0.33,8,0.38,3,0.14,15,0.7,93,4.29,57,2.63,49,5.33,166,18.06,292,13.48,125,5.75,73,3.36,40,1.84,256,11.81,2,0.1,5,0.23,3,0.12,5,0.24,21,0.98,11,0.5,9,1,29,3.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1069,474,392,2009,8,11,3,21,113,82,61,233
53003960500,Washington,Asotin County,1,3424,1497,0,87,2.54,0,1,0,0,0,1,11.9,52101,0,1,0,1,0,0,0,0,NULL,1108,NULL,NULL,440,NULL,1108,32.37,440,12.86,249,7.26,176,5.14,1030,30.07,7,0.19,16,0.47,1,0.04,21,0.61,34,0.98,30,0.88,37,2.44,88,5.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1276,771,692,3151,15,25,5,60,168,137,158,258
